company_name,high,low,last_price,prev_close,change,percent_gain
Muthoot Finance,"2,800.00","2,671.30","2,752.10","2,509.90",242.2,9.65
Newgen Software,929.80,854.70,912.60,854.70,57.9,6.77
Pfizer,"5,513.50","5,263.50","5,340.50","5,107.00",233.5,4.57
Kalyan Jeweller,546.30,511.45,538.90,515.65,23.25,4.51
Chalet Hotels,936.00,896.55,930.90,895.70,35.2,3.93
Bajaj Housing,114.92,109.40,112.74,108.56,4.18,3.85
Guj Mineral,440.50,414.05,431.40,415.55,15.85,3.81
Manappuram Fin,268.00,258.70,265.10,255.90,9.2,3.6
Coromandel Int,"2,343.00","2,260.00","2,337.20","2,257.70",79.5,3.52
Techno Electric,"1,513.00","1,429.50","1,489.80","1,439.90",49.9,3.47
Info Edge,"1,374.50","1,319.50","1,371.40","1,325.90",45.5,3.43
Reliance Power,44.00,41.88,43.71,42.29,1.42,3.36
APTUS VALUE,358.95,345.75,356.20,345.05,11.15,3.23
Poly Medicure,"1,933.60","1,843.20","1,904.90","1,846.30",58.6,3.17
CreditAccess Gr,"1,344.40","1,296.90","1,337.80","1,296.80",41,3.16
Endurance Techn,"2,655.00","2,554.50","2,604.90","2,531.60",73.3,2.9
Wipro,248.43,242.41,247.59,241.65,5.94,2.46
Krishna Inst.,748.80,724.50,747.35,731.20,16.15,2.21
Krishna Inst.,748.80,724.50,747.35,731.20,16.15,2.21
ZFCVINDIA,"14,445.00","13,539.00","13,890.00","13,598.00",292,2.15
Balrampur Chini,561.80,544.05,560.00,548.30,11.7,2.13
UNO Minda,"1,140.90","1,114.40","1,137.90","1,114.40",23.5,2.11
Navin Fluorine,"5,052.50","4,901.00","5,018.00","4,918.50",99.5,2.02
EID Parry,"1,166.00","1,142.00","1,161.00","1,138.50",22.5,1.98
Ola Electric,43.00,40.52,41.28,40.50,0.78,1.93
Praj Industries,413.90,405.00,412.45,404.90,7.55,1.86
Gland,"1,998.00","1,945.00","1,986.00","1,950.20",35.8,1.84
Infosys,"1,470.00","1,426.20","1,452.40","1,426.60",25.8,1.81
Eternal,318.25,310.65,317.95,312.35,5.6,1.79
Tata Comm,"1,693.50","1,640.00","1,669.00","1,639.80",29.2,1.78
360 ONE WAM,"1,046.20","1,022.60","1,045.80","1,028.00",17.8,1.73
360 ONE WAM,"1,046.20","1,022.60","1,045.80","1,028.00",17.8,1.73
GMR Airports,90.55,88.74,90.16,88.65,1.51,1.7
Blue Star,"1,801.00","1,745.90","1,784.30","1,755.80",28.5,1.62
HDFC Life,790.75,777.95,788.90,776.60,12.3,1.58
Ashok Leyland,124.00,119.29,121.60,119.73,1.87,1.56
Home First,"1,263.00","1,225.10","1,252.40","1,233.20",19.2,1.56
PG Electroplast,506.50,465.00,493.55,486.10,7.45,1.53
PG Electroplast,506.50,465.00,493.55,486.10,7.45,1.53
Kirloskar Oil,919.75,902.40,918.80,905.00,13.8,1.52
AU Small Financ,752.55,740.55,748.90,738.00,10.9,1.48
Godfrey Phillip,"10,276.50","9,947.50","10,194.00","10,047.00",147,1.46
SBFC Finance,105.71,103.31,104.86,103.36,1.5,1.45
Havells India,"1,494.90","1,463.10","1,485.80","1,465.90",19.9,1.36
Dixon Technolog,"16,209.00","15,950.00","16,168.00","15,952.00",216,1.35
Kaynes Tech,"6,174.50","6,031.00","6,140.00","6,060.00",80,1.32
Asahi India,834.95,810.00,832.60,821.80,10.8,1.31
Neuland Lab,"13,221.00","12,935.00","13,189.00","13,018.00",171,1.31
Sundaram Fin,"4,568.90","4,499.90","4,533.50","4,475.60",57.9,1.29
CAMS,"3,892.00","3,830.00","3,870.20","3,821.40",48.8,1.28
Aadhar Housing ,504.30,495.60,502.95,496.70,6.25,1.26
Vishal Mega Mar,155.60,144.40,146.01,144.19,1.82,1.26
Netweb,"2,153.90","2,086.00","2,125.00","2,098.90",26.1,1.24
Craftsman,"7,248.50","6,890.00","7,100.00","7,013.50",86.5,1.23
ICICI Prudentia,630.95,619.95,628.90,621.30,7.6,1.22
Alembic Pharma,979.00,941.60,953.90,942.75,11.15,1.18
Valor Estate,179.80,177.20,179.25,177.21,2.04,1.15
United Spirits,"1,333.90","1,299.90","1,321.20","1,306.20",15,1.15
Deepak Fert,"1,459.00","1,411.10","1,450.90","1,434.50",16.4,1.14
KFin Tech,"1,131.00","1,107.70","1,127.20","1,114.50",12.7,1.14
