company_name,high,low,last_price,prev_close,change,percent_gain
Indegene,598.70,504.20,577.55,505.65,71.9,14.22
Tata Comm,"1,502.45","1,366.00","1,492.35","1,373.20",119.15,8.68
Bharti Hexacom,"1,492.40","1,320.05","1,449.65","1,335.55",114.1,8.54
Chennai Petro,564.00,500.05,551.50,513.05,38.45,7.49
One 97 Paytm,718.95,651.50,713.35,665.25,48.1,7.23
Phoenix Mills,"1,664.20","1,540.00","1,656.85","1,551.70",105.15,6.78
Graphite India,430.95,396.25,426.80,400.45,26.35,6.58
Tube Investment,"2,929.00","2,691.15","2,882.05","2,714.60",167.45,6.17
Anant Raj,516.00,461.45,512.80,486.15,26.65,5.48
Macrotech Dev,"1,149.95","1,065.00","1,132.35","1,075.70",56.65,5.27
ICICI Securitie,831.95,795.00,830.35,795.15,35.2,4.43
Max Financial,"1,091.45","1,043.35","1,086.00","1,039.90",46.1,4.43
Archean Chem,560.00,506.00,552.70,529.55,23.15,4.37
Carborundum,998.80,934.10,988.15,948.50,39.65,4.18
DLF,674.95,636.05,674.10,647.10,27,4.17
Trent,"5,045.00","4,722.95","4,995.45","4,799.70",195.75,4.08
Oberoi Realty,"1,589.75","1,497.15","1,581.60","1,524.05",57.55,3.78
MCX India,"4,707.10","4,408.15","4,686.40","4,520.55",165.85,3.67
KSB Pumps,695.90,643.95,691.15,666.80,24.35,3.65
KSB Pumps,695.90,643.95,691.15,666.80,24.35,3.65
Godrej Prop,"2,061.00","1,945.00","2,046.10","1,974.15",71.95,3.64
Kalyan Jeweller,430.15,399.40,421.50,407.50,14,3.44
INDUS TOWERS,342.50,325.20,341.40,330.20,11.2,3.39
Sun TV Network,582.60,554.15,579.20,560.95,18.25,3.25
GMR Airports,74.70,70.54,74.11,71.79,2.32,3.23
Akums Drugs P,518.35,475.00,508.05,492.40,15.65,3.18
Alkem Lab,"4,790.00","4,610.00","4,777.75","4,632.50",145.25,3.14
Action Const,"1,188.00","1,096.85","1,169.30","1,134.20",35.1,3.09
PI Industries,"3,365.00","3,200.00","3,353.90","3,253.65",100.25,3.08
PB Fintech,"1,483.25","1,405.30","1,468.95","1,425.40",43.55,3.06
HEG,417.35,381.10,399.60,387.80,11.8,3.04
HEG,417.35,381.10,399.60,387.80,11.8,3.04
BPCL,264.97,254.35,264.58,256.93,7.65,2.98
Welspun Corp,821.45,766.60,816.40,793.15,23.25,2.93
Inox India,999.90,946.75,996.75,968.95,27.8,2.87
Engineers India,162.70,151.15,161.01,156.60,4.41,2.82
Castrol,242.85,230.00,241.37,234.81,6.56,2.79
Sun Pharma,"1,663.60","1,605.35","1,655.30","1,611.50",43.8,2.72
Laurus Labs,576.35,552.00,574.15,559.00,15.15,2.71
Aster DM Health,441.30,416.55,434.05,422.75,11.3,2.67
IOC,125.25,120.34,124.82,121.59,3.23,2.66
Krishna Inst.,533.00,507.75,526.95,513.65,13.3,2.59
Krishna Inst.,533.00,507.75,526.95,513.65,13.3,2.59
Petronet LNG,286.25,274.05,285.35,278.20,7.15,2.57
Nippon,546.00,501.00,534.95,521.65,13.3,2.55
Birla Corp,"1,041.00",986.45,"1,036.15","1,010.55",25.6,2.53
ICICI Bank,"1,248.00","1,217.20","1,245.40","1,214.85",30.55,2.51
KPR Mill,893.95,840.60,886.40,864.90,21.5,2.49
AstraZeneca,"7,990.00","7,511.70","7,807.35","7,625.60",181.75,2.38
Godfrey Phillip,"5,290.95","5,000.00","5,226.40","5,109.10",117.3,2.3
IGL,187.60,181.40,187.16,183.02,4.14,2.26
Intellect Desig,685.55,637.35,668.15,653.70,14.45,2.21
Fine Organics,"3,777.50","3,610.00","3,761.00","3,680.25",80.75,2.19
REC,405.00,384.00,402.60,394.20,8.4,2.13
GE Vernova TD,"1,480.00","1,400.00","1,475.80","1,445.10",30.7,2.12
Jindal Saw,264.60,250.00,260.46,255.10,5.36,2.1
Jindal Saw,264.60,250.00,260.46,255.10,5.36,2.1
Jyothy Labs,335.85,322.00,333.90,327.10,6.8,2.08
