company_name,high,low,last_price,prev_close,change,percent_gain
Welspun Corp,521.90,490.10,521.40,487.85,33.55,6.88
Swan Energy,463.80,430.50,451.00,422.40,28.6,6.77
Global Health,958.00,925.00,956.70,902.80,53.9,5.97
BSE Limited,"2,168.50","2,100.00","2,108.95","2,010.75",98.2,4.88
Quess Corp,499.00,476.00,486.65,464.80,21.85,4.7
Engineers India,143.50,138.60,143.40,137.70,5.7,4.14
Shyam Metalics,475.00,465.30,474.40,456.30,18.1,3.97
MMTC Ltd,54.25,51.95,53.65,51.70,1.95,3.77
Hind Copper,150.80,148.10,150.25,145.05,5.2,3.58
IFB Industries,960.00,922.00,954.65,921.70,32.95,3.57
Asahi India,583.50,570.00,578.40,558.60,19.8,3.54
KFin Tech,530.00,514.30,527.70,511.05,16.65,3.26
Data Patterns,"1,896.05","1,860.00","1,891.70","1,832.60",59.1,3.22
Biocon,236.00,230.00,233.95,227.40,6.55,2.88
Amber Enterpris,"3,160.85","3,129.95","3,139.00","3,051.65",87.35,2.86
CDSL,"1,840.00","1,809.00","1,827.90","1,777.05",50.85,2.86
New India Assur,144.25,139.35,142.00,138.05,3.95,2.86
eClerx Services,"2,238.00","2,160.20","2,211.80","2,151.90",59.9,2.78
AAVAS Financier,"1,519.90","1,495.00","1,509.00","1,468.95",40.05,2.73
NMDC Steel,41.50,41.00,41.50,40.40,1.1,2.72
MOTHERSON,91.00,89.85,90.80,88.40,2.4,2.71
Lemon Tree,116.65,115.50,116.15,113.10,3.05,2.7
Greenpanel Ind,333.00,322.00,331.50,322.85,8.65,2.68
MCX India,"2,704.80","2,626.00","2,673.65","2,603.90",69.75,2.68
Power Finance,296.50,289.50,295.40,287.70,7.7,2.68
Sterling Wilson,286.00,276.40,286.00,278.60,7.4,2.66
PNC Infratech,325.90,320.00,324.40,316.05,8.35,2.64
Mahindra Life,521.95,511.05,520.00,506.70,13.3,2.62
Coal India,336.70,328.25,331.70,323.40,8.3,2.57
Natco Pharma,787.00,775.35,785.70,766.55,19.15,2.5
