company_name,high,low,last_price,prev_close,change,percent_gain
Jaiprakash Pow,22.74,18.95,22.65,18.95,3.7,19.53
Godrej Consumer,"1,271.90","1,225.20","1,268.40","1,192.90",75.5,6.33
Metropolis,"1,875.00","1,785.60","1,859.40","1,773.30",86.1,4.86
Alkyl Amines,"2,438.80","2,286.60","2,398.00","2,295.20",102.8,4.48
Authum Invest,"2,685.00","2,560.50","2,671.30","2,567.90",103.4,4.03
Rattanindia Ent,65.60,60.93,64.08,61.68,2.4,3.89
BLS Internation,383.90,361.25,377.35,363.70,13.65,3.75
Transformers,492.85,467.00,488.20,471.20,17,3.61
Dabur India,517.70,496.05,512.75,495.10,17.65,3.56
SUMITOMO,562.95,529.30,553.85,536.05,17.8,3.32
Nuvama Wealth,"7,580.00","7,135.50","7,498.00","7,261.00",237,3.26
Shipping Corp,231.75,222.30,228.36,221.43,6.93,3.13
HUL,"2,415.70","2,341.00","2,410.40","2,339.30",71.1,3.04
Jyothy Labs,364.80,341.00,352.40,342.00,10.4,3.04
DCM Shriram,"1,439.90","1,333.00","1,396.10","1,355.20",40.9,3.02
Home First,"1,401.00","1,320.20","1,394.60","1,355.60",39,2.88
Motherson SWI,62.50,59.83,62.06,60.32,1.74,2.88
IGIL,395.70,377.30,392.15,381.35,10.8,2.83
Cummins,"3,442.50","3,330.30","3,436.10","3,342.00",94.1,2.82
IIFL Finance,495.50,475.15,487.20,474.85,12.35,2.6
Petronet LNG,308.40,299.50,307.50,299.75,7.75,2.59
Emami,586.00,560.70,576.50,562.55,13.95,2.48
Ipca Labs,"1,468.00","1,418.40","1,457.80","1,422.80",35,2.46
C. E. Info Syst,"1,784.80","1,729.00","1,777.60","1,735.40",42.2,2.43
ICICI Prudentia,667.90,650.95,666.05,650.95,15.1,2.32
Westlife Food,781.00,757.70,773.00,756.40,16.6,2.19
Balrampur Chini,608.00,587.75,602.80,590.00,12.8,2.17
Adani Power,600.00,578.75,597.15,584.80,12.35,2.11
Valor Estate,240.90,230.10,235.38,230.54,4.84,2.1
Brainbees Solu,375.95,362.60,371.75,364.30,7.45,2.05
ACME Solar,264.80,249.13,254.61,249.57,5.04,2.02
Intellect Desig,"1,157.30","1,118.90","1,149.30","1,127.20",22.1,1.96
Britannia,"5,899.50","5,788.00","5,884.00","5,771.50",112.5,1.95
Caplin Labs,"2,065.00","2,000.20","2,054.60","2,017.80",36.8,1.82
Hyundai Motor,"2,109.00","2,058.10","2,101.20","2,064.10",37.1,1.8
Varun Beverages,464.90,452.00,464.05,456.15,7.9,1.73
Varun Beverages,464.90,452.00,464.05,456.15,7.9,1.73
Varun Beverages,464.90,452.00,464.05,456.15,7.9,1.73
APTUS VALUE,330.00,320.25,328.20,322.65,5.55,1.72
PB Fintech,"1,830.00","1,777.70","1,824.80","1,794.00",30.8,1.72
Brigade Ent,"1,098.00","1,069.50","1,091.60","1,073.30",18.3,1.71
SBFC Finance,113.73,109.62,112.74,110.89,1.85,1.67
FSN E-Co Nykaa,203.13,199.31,201.52,198.23,3.29,1.66
Glenmark,"1,879.40","1,826.10","1,860.10","1,830.40",29.7,1.62
Syrma SGS,621.95,600.90,619.40,609.55,9.85,1.62
Global Health,"1,210.00","1,172.40","1,202.80","1,183.80",19,1.61
Sonata,417.80,407.00,417.10,410.50,6.6,1.61
Eris Life,"1,754.00","1,700.20","1,734.00","1,706.70",27.3,1.6
Delhivery,397.60,388.60,396.10,390.10,6,1.54
Dixon Technolog,"15,668.00","15,118.00","15,433.00","15,202.00",231,1.52
Coromandel Int,"2,272.00","2,215.30","2,267.50","2,233.70",33.8,1.51
